,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
891,3.0,638.0,1.0,34.5,0.0,0.0,376.0,7.8292,186.0,1.0
892,3.0,1266.0,0.0,47.0,1.0,0.0,582.0,7.0,186.0,2.0
893,2.0,837.0,1.0,62.0,0.0,0.0,184.0,9.6875,186.0,1.0
894,3.0,1278.0,1.0,27.0,0.0,0.0,366.0,8.6625,186.0,2.0
895,3.0,543.0,0.0,22.0,1.0,1.0,338.0,12.2875,186.0,2.0
896,3.0,1160.0,1.0,14.0,0.0,0.0,692.0,9.225,186.0,2.0
897,3.0,261.0,0.0,30.0,0.0,0.0,389.0,7.6292,186.0,1.0
898,2.0,185.0,1.0,26.0,1.0,1.0,211.0,29.0,186.0,2.0
899,3.0,9.0,0.0,18.0,0.0,0.0,251.0,7.2292,186.0,0.0
900,3.0,308.0,1.0,21.0,2.0,0.0,714.0,24.15,186.0,2.0
901,3.0,573.0,1.0,29.881137667304014,0.0,0.0,503.0,7.8958,186.0,2.0
902,1.0,610.0,1.0,46.0,0.0,0.0,687.0,26.0,186.0,2.0
903,1.0,1122.0,0.0,23.0,1.0,0.0,131.0,82.2667,41.0,2.0
904,2.0,562.0,1.0,63.0,1.0,0.0,185.0,26.0,186.0,2.0
905,1.0,220.0,0.0,47.0,1.0,0.0,926.0,61.175,154.0,2.0
906,2.0,1302.0,0.0,24.0,1.0,0.0,866.0,27.7208,186.0,0.0
907,2.0,633.0,1.0,35.0,0.0,0.0,153.0,12.35,186.0,1.0
908,3.0,66.0,1.0,21.0,0.0,0.0,287.0,7.225,186.0,0.0
909,3.0,574.0,0.0,27.0,1.0,0.0,911.0,7.925,186.0,2.0
910,3.0,65.0,0.0,45.0,0.0,0.0,291.0,7.225,186.0,0.0
911,1.0,1027.0,1.0,55.0,1.0,0.0,819.0,59.4,186.0,0.0
912,3.0,892.0,1.0,9.0,0.0,1.0,741.0,3.1708,186.0,2.0
913,1.0,385.0,0.0,29.881137667304014,0.0,0.0,815.0,31.6833,186.0,2.0
914,1.0,1274.0,1.0,21.0,0.0,1.0,814.0,61.3792,186.0,0.0
915,1.0,1039.0,0.0,48.0,1.0,3.0,824.0,262.375,47.0,0.0
916,3.0,1011.0,1.0,50.0,1.0,0.0,735.0,14.5,186.0,2.0
917,1.0,906.0,0.0,22.0,0.0,1.0,39.0,61.9792,34.0,0.0
918,3.0,288.0,1.0,22.5,0.0,0.0,293.0,7.225,186.0,0.0
919,1.0,151.0,1.0,41.0,0.0,0.0,32.0,30.5,7.0,2.0
920,3.0,1063.0,1.0,29.881137667304014,2.0,0.0,256.0,21.6792,186.0,0.0
921,2.0,725.0,1.0,50.0,1.0,0.0,856.0,26.0,186.0,2.0
922,2.0,585.0,1.0,24.0,2.0,0.0,759.0,31.5,186.0,2.0
923,3.0,318.0,0.0,33.0,1.0,2.0,750.0,20.575,186.0,2.0
924,3.0,609.0,0.0,29.881137667304014,1.0,2.0,923.0,23.45,186.0,2.0
925,1.0,807.0,1.0,30.0,1.0,0.0,91.0,57.75,102.0,0.0
926,3.0,630.0,1.0,18.5,0.0,0.0,277.0,7.2292,186.0,0.0
927,3.0,1025.0,0.0,29.881137667304014,0.0,0.0,406.0,8.05,186.0,2.0
928,3.0,178.0,0.0,21.0,0.0,0.0,351.0,8.6625,186.0,2.0
929,3.0,1069.0,1.0,25.0,0.0,0.0,421.0,9.5,186.0,2.0
930,3.0,521.0,1.0,29.881137667304014,0.0,0.0,104.0,56.4958,186.0,2.0
931,3.0,628.0,1.0,39.0,0.0,1.0,539.0,13.4167,186.0,0.0
932,1.0,411.0,1.0,29.881137667304014,0.0,0.0,47.0,26.55,130.0,2.0
933,3.0,452.0,1.0,41.0,0.0,0.0,873.0,7.85,186.0,2.0
934,2.0,268.0,0.0,30.0,0.0,0.0,165.0,13.0,186.0,2.0
935,1.0,650.0,0.0,45.0,1.0,0.0,72.0,52.5542,122.0,2.0
936,3.0,944.0,1.0,25.0,0.0,0.0,907.0,7.925,186.0,2.0
937,1.0,229.0,1.0,45.0,0.0,0.0,811.0,29.7,19.0,0.0
938,3.0,1080.0,1.0,29.881137667304014,0.0,0.0,640.0,7.75,186.0,1.0
939,1.0,169.0,0.0,60.0,0.0,0.0,81.0,76.2917,120.0,0.0
940,3.0,275.0,0.0,36.0,0.0,2.0,769.0,15.9,186.0,2.0
941,1.0,1116.0,1.0,24.0,1.0,0.0,98.0,60.0,83.0,2.0
942,2.0,976.0,1.0,27.0,0.0,0.0,867.0,15.0333,186.0,0.0
943,2.0,544.0,0.0,20.0,2.0,1.0,320.0,23.0,186.0,2.0
944,1.0,402.0,0.0,28.0,3.0,2.0,123.0,263.0,80.0,2.0
945,2.0,752.0,1.0,29.881137667304014,0.0,0.0,853.0,15.5792,186.0,0.0
946,3.0,992.0,1.0,10.0,4.0,1.0,659.0,29.125,186.0,1.0
947,3.0,265.0,1.0,35.0,0.0,0.0,513.0,7.8958,186.0,2.0
948,3.0,5.0,1.0,25.0,0.0,0.0,480.0,7.65,178.0,2.0
949,3.0,312.0,1.0,29.881137667304014,1.0,0.0,665.0,16.1,186.0,2.0
950,1.0,227.0,0.0,36.0,0.0,0.0,824.0,262.375,49.0,0.0
951,3.0,329.0,1.0,17.0,0.0,0.0,515.0,7.8958,186.0,2.0
952,2.0,772.0,1.0,32.0,0.0,0.0,164.0,13.5,186.0,2.0
953,3.0,128.0,1.0,18.0,0.0,0.0,466.0,7.75,186.0,2.0
954,3.0,149.0,0.0,22.0,0.0,0.0,393.0,7.725,186.0,1.0
955,1.0,1035.0,1.0,13.0,2.0,2.0,824.0,262.375,47.0,0.0
956,2.0,269.0,0.0,29.881137667304014,0.0,0.0,784.0,21.0,186.0,2.0
957,3.0,172.0,0.0,18.0,0.0,0.0,386.0,7.8792,186.0,1.0
958,1.0,814.0,1.0,47.0,0.0,0.0,61.0,42.4,186.0,2.0
959,1.0,1199.0,1.0,31.0,0.0,0.0,227.0,28.5375,93.0,0.0
960,1.0,406.0,0.0,60.0,1.0,4.0,123.0,263.0,80.0,2.0
961,3.0,831.0,0.0,24.0,0.0,0.0,660.0,7.75,186.0,1.0
962,3.0,803.0,1.0,21.0,0.0,0.0,494.0,7.8958,186.0,2.0
963,3.0,863.0,0.0,29.0,0.0,0.0,337.0,7.925,186.0,2.0
964,1.0,909.0,1.0,28.5,0.0,0.0,801.0,27.7208,136.0,0.0
965,1.0,432.0,0.0,35.0,0.0,0.0,37.0,211.5,75.0,0.0
966,1.0,635.0,1.0,32.5,0.0,0.0,37.0,211.5,76.0,0.0
967,3.0,796.0,1.0,29.881137667304014,0.0,0.0,578.0,8.05,186.0,2.0
968,1.0,271.0,0.0,55.0,2.0,0.0,77.0,25.7,61.0,2.0
969,2.0,16.0,1.0,30.0,0.0,0.0,213.0,13.0,186.0,2.0
970,3.0,345.0,0.0,24.0,0.0,0.0,623.0,7.75,186.0,1.0
971,3.0,137.0,1.0,6.0,1.0,1.0,273.0,15.2458,186.0,0.0
972,1.0,1150.0,1.0,67.0,1.0,0.0,797.0,221.7792,95.0,2.0
973,1.0,214.0,1.0,49.0,0.0,0.0,119.0,26.0,186.0,2.0
974,3.0,320.0,1.0,29.881137667304014,0.0,0.0,521.0,7.8958,186.0,2.0
975,2.0,673.0,1.0,29.881137667304014,0.0,0.0,183.0,10.7083,186.0,1.0
976,3.0,644.0,1.0,29.881137667304014,1.0,0.0,254.0,14.4542,186.0,0.0
977,3.0,94.0,0.0,27.0,0.0,0.0,372.0,7.8792,186.0,1.0
978,3.0,82.0,0.0,18.0,0.0,0.0,712.0,8.05,186.0,2.0
979,3.0,883.0,0.0,29.881137667304014,0.0,0.0,599.0,7.75,186.0,1.0
980,2.0,1242.0,1.0,2.0,1.0,1.0,318.0,23.0,186.0,2.0
981,3.0,359.0,0.0,22.0,1.0,0.0,449.0,13.9,186.0,2.0
982,3.0,941.0,1.0,29.881137667304014,0.0,0.0,414.0,7.775,186.0,2.0
983,1.0,303.0,0.0,27.0,1.0,2.0,779.0,52.0,51.0,2.0
984,3.0,472.0,1.0,29.881137667304014,0.0,0.0,653.0,8.05,186.0,2.0
985,1.0,124.0,1.0,25.0,0.0,0.0,99.0,26.0,186.0,0.0
986,3.0,1170.0,1.0,25.0,0.0,0.0,548.0,7.7958,186.0,2.0
987,1.0,217.0,0.0,76.0,1.0,0.0,118.0,78.85,87.0,2.0
988,3.0,745.0,1.0,29.0,0.0,0.0,897.0,7.925,186.0,2.0
989,3.0,152.0,0.0,20.0,0.0,0.0,476.0,7.8542,186.0,2.0
990,3.0,843.0,1.0,33.0,0.0,0.0,708.0,8.05,186.0,2.0
991,1.0,1141.0,0.0,43.0,1.0,0.0,80.0,55.4417,68.0,0.0
992,2.0,1240.0,1.0,27.0,1.0,0.0,143.0,26.0,186.0,2.0
993,3.0,392.0,1.0,29.881137667304014,0.0,0.0,604.0,7.75,186.0,1.0
994,3.0,595.0,1.0,26.0,0.0,0.0,447.0,7.775,186.0,2.0
995,3.0,1179.0,0.0,16.0,1.0,1.0,233.0,8.5167,186.0,0.0
996,3.0,553.0,1.0,28.0,0.0,0.0,743.0,22.525,186.0,2.0
997,3.0,168.0,1.0,21.0,0.0,0.0,378.0,7.8208,186.0,1.0
998,3.0,1033.0,1.0,29.881137667304014,0.0,0.0,663.0,7.75,186.0,1.0
999,3.0,1268.0,1.0,29.881137667304014,0.0,0.0,400.0,8.7125,186.0,2.0
1000,2.0,1162.0,1.0,18.5,0.0,0.0,210.0,13.0,174.0,2.0
1001,2.0,1138.0,1.0,41.0,0.0,0.0,172.0,15.0458,186.0,0.0
1002,3.0,1084.0,0.0,29.881137667304014,0.0,0.0,387.0,7.7792,186.0,1.0
1003,1.0,375.0,0.0,36.0,0.0,0.0,799.0,31.6792,11.0,0.0
1004,3.0,167.0,0.0,18.5,0.0,0.0,371.0,7.2833,186.0,1.0
1005,1.0,1151.0,0.0,63.0,1.0,0.0,797.0,221.7792,95.0,2.0
1006,3.0,237.0,1.0,18.0,1.0,0.0,275.0,14.4542,186.0,0.0
1007,3.0,1177.0,1.0,29.881137667304014,0.0,0.0,276.0,6.4375,186.0,0.0
1008,3.0,1066.0,0.0,1.0,1.0,1.0,839.0,16.7,184.0,2.0
1009,1.0,103.0,1.0,36.0,0.0,0.0,88.0,75.2417,96.0,0.0
1010,2.0,225.0,0.0,29.0,1.0,0.0,855.0,26.0,186.0,2.0
1011,2.0,1235.0,0.0,12.0,0.0,0.0,764.0,15.75,186.0,2.0
1012,3.0,646.0,1.0,29.881137667304014,1.0,0.0,609.0,7.75,186.0,1.0
1013,1.0,1073.0,0.0,35.0,1.0,0.0,91.0,57.75,81.0,0.0
1014,3.0,213.0,1.0,28.0,0.0,0.0,668.0,7.25,186.0,2.0
1015,3.0,640.0,1.0,29.881137667304014,0.0,0.0,625.0,7.75,186.0,1.0
1016,3.0,279.0,0.0,17.0,0.0,1.0,647.0,16.1,186.0,2.0
1017,3.0,157.0,1.0,22.0,0.0,0.0,554.0,7.7958,186.0,2.0
1018,3.0,770.0,0.0,29.881137667304014,2.0,0.0,608.0,23.25,186.0,1.0
1019,2.0,146.0,1.0,42.0,0.0,0.0,129.0,13.0,186.0,2.0
1020,3.0,957.0,1.0,24.0,0.0,0.0,404.0,8.05,186.0,2.0
1021,3.0,1132.0,1.0,32.0,0.0,0.0,917.0,8.05,186.0,2.0
1022,1.0,463.0,1.0,53.0,0.0,0.0,48.0,28.5,91.0,0.0
1023,3.0,691.0,0.0,29.881137667304014,0.0,4.0,671.0,25.4667,186.0,2.0
1024,3.0,1176.0,1.0,29.881137667304014,1.0,0.0,229.0,6.4375,186.0,0.0
1025,3.0,331.0,1.0,43.0,0.0,0.0,509.0,7.8958,186.0,2.0
1026,3.0,201.0,1.0,24.0,0.0,0.0,569.0,7.8542,186.0,2.0
1027,3.0,1293.0,1.0,26.5,0.0,0.0,250.0,7.225,186.0,0.0
1028,2.0,1074.0,1.0,26.0,0.0,0.0,202.0,13.0,186.0,2.0
1029,3.0,346.0,0.0,23.0,0.0,0.0,893.0,8.05,186.0,2.0
1030,3.0,461.0,1.0,40.0,1.0,6.0,775.0,46.9,186.0,2.0
1031,3.0,458.0,0.0,10.0,5.0,2.0,775.0,46.9,186.0,2.0
1032,1.0,299.0,0.0,33.0,0.0,0.0,49.0,151.55,186.0,2.0
1033,1.0,1038.0,1.0,61.0,1.0,3.0,824.0,262.375,47.0,0.0
1034,2.0,104.0,1.0,28.0,0.0,0.0,196.0,26.0,186.0,2.0
1035,1.0,708.0,1.0,42.0,0.0,0.0,114.0,26.55,186.0,2.0
1036,3.0,1215.0,1.0,31.0,3.0,0.0,417.0,18.0,186.0,2.0
1037,1.0,537.0,1.0,29.881137667304014,0.0,0.0,109.0,51.8625,163.0,2.0
1038,3.0,307.0,1.0,22.0,0.0,0.0,854.0,8.05,186.0,2.0
1039,1.0,277.0,1.0,29.881137667304014,0.0,0.0,57.0,26.55,186.0,2.0
1040,2.0,668.0,1.0,30.0,1.0,1.0,223.0,26.0,186.0,2.0
1041,1.0,360.0,0.0,23.0,0.0,1.0,75.0,83.1583,94.0,0.0
1042,3.0,761.0,1.0,29.881137667304014,0.0,0.0,538.0,7.8958,186.0,0.0
1043,3.0,1146.0,1.0,60.5,0.0,0.0,631.0,33.29547928134557,186.0,2.0
1044,3.0,660.0,0.0,36.0,0.0,2.0,565.0,12.1833,186.0,2.0
1045,3.0,60.0,1.0,13.0,4.0,2.0,454.0,31.3875,186.0,2.0
1046,3.0,355.0,1.0,24.0,0.0,0.0,846.0,7.55,186.0,2.0
1047,1.0,122.0,0.0,29.0,0.0,0.0,797.0,221.7792,115.0,2.0
1048,3.0,730.0,0.0,23.0,0.0,0.0,474.0,7.8542,186.0,2.0
1049,1.0,134.0,1.0,42.0,0.0,0.0,4.0,26.55,125.0,2.0
1050,3.0,937.0,0.0,26.0,0.0,2.0,883.0,13.775,186.0,2.0
1051,3.0,1120.0,0.0,29.881137667304014,0.0,0.0,396.0,7.7333,186.0,1.0
1052,3.0,1193.0,1.0,7.0,1.0,1.0,244.0,15.2458,186.0,0.0
1053,2.0,1282.0,0.0,26.0,0.0,0.0,137.0,13.5,186.0,2.0
1054,3.0,938.0,1.0,29.881137667304014,0.0,0.0,410.0,7.0,186.0,2.0
1055,2.0,952.0,1.0,41.0,0.0,0.0,166.0,13.0,186.0,2.0
1056,3.0,655.0,0.0,26.0,1.0,1.0,365.0,22.025,186.0,2.0
1057,1.0,153.0,1.0,48.0,0.0,0.0,808.0,50.4958,20.0,0.0
1058,3.0,397.0,1.0,18.0,2.0,2.0,924.0,34.375,186.0,2.0
1059,1.0,215.0,0.0,29.881137667304014,0.0,0.0,117.0,27.7208,186.0,0.0
1060,3.0,525.0,0.0,22.0,0.0,0.0,696.0,8.9625,186.0,2.0
1061,3.0,718.0,1.0,29.881137667304014,0.0,0.0,843.0,7.55,186.0,2.0
1062,3.0,1294.0,1.0,27.0,0.0,0.0,264.0,7.225,186.0,0.0
1063,3.0,358.0,1.0,23.0,1.0,0.0,449.0,13.9,186.0,2.0
1064,3.0,1190.0,1.0,29.881137667304014,0.0,0.0,268.0,7.2292,186.0,0.0
1065,3.0,62.0,1.0,40.0,1.0,5.0,454.0,31.3875,186.0,2.0
1066,2.0,160.0,0.0,15.0,0.0,2.0,325.0,39.0,186.0,2.0
1067,2.0,1093.0,0.0,20.0,0.0,0.0,763.0,36.75,186.0,2.0
1068,1.0,1140.0,1.0,54.0,1.0,0.0,80.0,55.4417,68.0,0.0
1069,2.0,109.0,0.0,36.0,0.0,3.0,146.0,39.0,183.0,2.0
1070,1.0,258.0,0.0,64.0,0.0,2.0,832.0,83.1583,162.0,0.0
1071,2.0,773.0,1.0,30.0,0.0,0.0,151.0,13.0,186.0,2.0
1072,1.0,257.0,1.0,37.0,1.0,1.0,832.0,83.1583,166.0,0.0
1073,1.0,759.0,0.0,18.0,1.0,0.0,45.0,53.1,128.0,2.0
1074,3.0,675.0,1.0,29.881137667304014,0.0,0.0,700.0,7.75,186.0,1.0
1075,1.0,341.0,0.0,27.0,1.0,1.0,800.0,247.5208,48.0,0.0
1076,2.0,763.0,1.0,40.0,0.0,0.0,177.0,16.0,186.0,2.0
1077,2.0,964.0,0.0,21.0,0.0,1.0,842.0,21.0,186.0,2.0
1078,3.0,309.0,1.0,17.0,2.0,0.0,715.0,8.05,186.0,2.0
1079,3.0,1049.0,0.0,29.881137667304014,8.0,2.0,778.0,69.55,186.0,2.0
1080,2.0,1219.0,1.0,40.0,0.0,0.0,306.0,13.0,186.0,2.0
1081,2.0,48.0,1.0,34.0,1.0,0.0,142.0,26.0,186.0,2.0
1082,1.0,1061.0,1.0,29.881137667304014,0.0,0.0,7.0,26.0,186.0,2.0
1083,3.0,1304.0,1.0,11.5,1.0,1.0,736.0,14.5,186.0,2.0
1084,2.0,717.0,1.0,61.0,0.0,0.0,159.0,12.35,186.0,1.0
1085,2.0,348.0,1.0,8.0,0.0,2.0,305.0,32.5,186.0,2.0
1086,3.0,624.0,1.0,33.0,0.0,0.0,470.0,7.8542,186.0,2.0
1087,1.0,1127.0,1.0,6.0,0.0,2.0,105.0,134.5,156.0,0.0
1088,3.0,865.0,0.0,18.0,0.0,0.0,443.0,7.775,186.0,2.0
1089,2.0,85.0,1.0,23.0,0.0,0.0,760.0,10.5,186.0,2.0
1090,3.0,981.0,0.0,29.881137667304014,0.0,0.0,682.0,8.1125,186.0,2.0
1091,3.0,835.0,0.0,29.881137667304014,0.0,0.0,606.0,15.5,186.0,1.0
1092,3.0,295.0,1.0,0.33,0.0,2.0,457.0,14.4,186.0,2.0
1093,1.0,68.0,1.0,47.0,1.0,0.0,833.0,227.525,97.0,0.0
1094,2.0,978.0,0.0,8.0,1.0,1.0,239.0,26.0,186.0,2.0
1095,2.0,44.0,1.0,25.0,0.0,0.0,765.0,10.5,186.0,2.0
1096,1.0,900.0,1.0,29.881137667304014,0.0,0.0,780.0,25.7417,186.0,0.0
1097,3.0,779.0,0.0,35.0,0.0,0.0,703.0,7.75,186.0,1.0
1098,2.0,251.0,1.0,24.0,0.0,0.0,300.0,10.5,186.0,2.0
1099,1.0,1022.0,0.0,33.0,0.0,0.0,829.0,27.7208,1.0,0.0
